ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
280170;201801;5063;13932;4599;13284;290;812;3731;10889;4021;11701
280190;201801;1210;2912;1007;2619;59;184;796;1990;855;2174
280200;201801;1165;3356;1015;3095;102;369;733;2174;835;2543
280210;201801;14734;39998;12957;37553;2260;6771;7352;21699;9612;28470
280220;201801;1778;4868;1575;4594;52;227;1287;3748;1339;3975
280230;201801;3381;9503;3042;8995;235;795;2301;6680;2536;7475
280240;201801;3442;9414;3118;8915;88;366;2642;7407;2730;7773
280250;201801;841;2176;665;1890;82;264;367;996;449;1260
280260;201801;2064;5323;1902;5129;54;154;1759;4743;1813;4897
280270;201801;2224;6596;1997;6243;104;378;1678;5172;1782;5550
280280;201801;4139;13248;3724;12603;588;1752;2396;8592;2984;10344
280290;201801;17028;48711;15221;46077;1758;5948;9818;29786;11576;35734
280300;201801;10141;27909;8929;26543;493;1719;6875;21317;7368;23036
280310;201801;1346;3677;1140;3316;34;126;846;2384;880;2510
280320;201801;8613;25199;7675;23753;995;3313;4764;14548;5759;17861
280330;201801;4578;11980;4016;11180;275;872;3151;8536;3426;9408
280340;201801;4737;11018;4087;10280;255;606;3466;8887;3721;9493
280350;201801;22424;59307;19504;55053;2201;6442;13384;37809;15585;44251
280360;201801;5635;16770;5147;15935;874;2787;2981;9310;3855;12097
280370;201801;2004;5152;1680;4635;102;276;1286;3518;1388;3794
280380;201801;1009;2939;882;2747;99;366;602;1829;701;2195
280390;201801;3045;8583;2644;7856;148;515;1996;5855;2144;6370
280400;201801;3819;10522;3402;9911;674;1882;1923;5870;2597;7752
280410;201801;2128;6490;1771;5805;195;682;1044;3334;1239;4016
280420;201801;4230;11746;3862;11217;134;431;3392;9834;3526;10265
280430;201801;2110;5355;1867;5020;76;276;1469;3856;1545;4132
280440;201801;4722;12909;4148;12123;293;911;3252;9367;3545;10278
280445;201801;2366;6223;2121;5794;49;163;1614;4243;1663;4406
280450;201801;9928;23740;8944;22478;394;817;7770;19759;8164;20576
280460;201801;6607;16762;6025;15932;582;1541;4757;12608;5339;14149
280470;201801;1797;5221;1605;4890;75;265;1212;3678;1287;3943
280480;201801;34036;92034;30853;87556;3391;10709;21327;59488;24718;70197
280490;201801;3873;11280;3289;10296;120;519;2463;7504;2583;8023
280500;201801;923;2345;809;2186;36;113;671;1801;707;1914
280510;201801;2533;7186;2230;6741;119;477;1615;4834;1734;5311
280520;201801;1710;4488;1526;4244;101;270;1248;3470;1349;3740
280530;201801;2485;6350;2241;6052;124;356;1832;4926;1956;5282
280540;201801;9092;24825;8321;23742;206;968;7315;20322;7521;21290
280550;201801;6816;16867;5605;15038;320;859;4267;11290;4587;12149
280560;201801;7207;20847;6794;20260;216;865;5893;17254;6109;18119
280570;201801;6341;16479;5270;15065;315;1045;3807;10803;4122;11848
280580;201801;5283;15655;4584;14466;596;1840;2981;9579;3577;11419
280590;201801;2682;7065;2327;6611;163;671;1656;4516;1819;5187
280600;201801;3382;9768;3061;9313;228;793;2281;6881;2509;7674
280610;201801;2478;6407;2252;6106;167;475;1810;4848;1977;5323
280620;201801;5354;14349;4640;13268;441;1089;3304;9828;3745;10917
280630;201801;3632;11348;3301;10836;226;809;2557;8490;2783;9299
280640;201801;2323;6700;2144;6502;54;135;1998;6136;2052;6271
280650;201801;1077;3113;930;2907;93;330;673;2057;766;2387
280660;201801;2809;7281;2584;7016;148;397;2217;6027;2365;6424
280670;201801;17543;42900;15641;40431;1358;3732;11637;30052;12995;33784
280680;201801;2800;7165;2374;6481;159;396;1772;4774;1931;5170
280690;201801;962;2543;827;2359;53;160;613;1718;666;1878
